track_name,artist(s)_name,artist_count,released_day,released_month,released_year,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,streams
Forever,Labrinth,1,4,10,2019,3618,0,21,86,138,0,282883169
Mount Everest,Labrinth,1,21,6,2019,5443,0,45,1,80,0,467727006
Mary On A Cross,Ghost,1,13,9,2019,2668,2,38,266,78,0,387080183
When I R.I.P.,Labrinth,1,4,10,2019,2578,0,8,67,66,0,203680270
Memories,Maroon 5,1,20,9,2019,9974,2,272,67,"1,066",1,1759567999
Falling,Harry Styles,1,13,12,2019,7556,0,124,24,254,0,1023187129
Heart To Heart,Mac DeMarco,1,10,5,2019,1640,0,27,27,29,1,244658767
Watermelon Sugar,Harry Styles,1,17,11,2019,21915,34,437,115,"1,212",12,2322580122
Formula,Labrinth,1,4,10,2019,3444,7,24,85,102,0,554875730
Tom's Diner,"AnnenMayKantereit, Giant Rooks",2,28,6,2019,2605,0,15,48,50,0,236872197
Lost in the Fire,"The Weeknd, Gesaffelstein",2,11,1,2019,7731,2,110,145,447,0,686734357
Those Eyes,New West,1,10,5,2019,1507,14,24,71,44,1,411747614
Still Don't Know My Name,Labrinth,1,4,10,2019,6332,0,47,116,266,0,563902868
Astronaut In The Ocean,Masked Wolf,1,1,1,2019,7191,0,146,18,478,0,1138474110
Callaita,"Bad Bunny, Tainy",2,31,5,2019,9539,15,162,116,355,7,1304313953
All Of The Girls You Loved Before,Taylor Swift,1,23,8,2019,1282,6,26,6,19,0,185240616
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2,4,8,2019,5342,0,33,123,7,0,426204830
Boy With Luv (feat. Halsey),"Halsey, BTS",2,12,4,2019,4260,0,113,92,259,0,1065580332
Streets,Doja Cat,1,7,11,2019,5728,0,85,87,179,0,865640097
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",3,30,8,2019,2696,0,42,2,57,0,540539717
Don't Start Now,Dua Lipa,1,31,10,2019,27119,0,532,77,"1,535",3,2303033973
Before You Go,Lewis Capaldi,1,1,11,2019,8327,24,205,130,625,0,1608045237
Golden,Harry Styles,1,13,12,2019,8429,1,85,24,200,0,807015863
Car's Outside,James Arthur,1,18,10,2019,794,10,38,25,61,0,265882712
Blinding Lights,The Weeknd,1,29,11,2019,43899,69,672,199,"3,421",20,3703895074
NEW MAGIC WAND,"Tyler, The Creator",2,16,5,2019,4708,0,13,7,55,0,461437791
Se̱orita,"Shawn Mendes, Camila Cabello",2,19,6,2019,15010,2,453,50,"1,785",1,2484812918
love nwantiti (ah ah ah),Ckay,1,26,7,2019,5669,2,74,0,262,14,726837877
Dance Monkey,Tones and I,1,10,5,2019,24529,0,533,167,"3,595",6,2864791672
Adore You,Harry Styles,1,6,12,2019,13454,1,246,71,519,2,1439191367
Circles,Post Malone,1,30,8,2019,19664,16,391,73,633,3,2132335812
Cruel Summer,Taylor Swift,1,23,8,2019,7858,100,116,207,125,12,800840817
