track_name,artist(s)_name,artist_count,released_day,released_month,released_year,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,streams
Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny TavÃ¯Â¿Â½Ã¯Â¿Â½rez, Sech, Dalex, Dimelo Flow, Rich Music",8,12,8,2021,1560,0,72,0,0,0,223319934
Volvi,"Aventura, Bad Bunny",2,3,8,2021,5375,10,138,24,133,0,673801126
I WANNA BE YOUR SLAVE,MÃ¯Â¿Â½Ã¯Â¿Â½ne,1,19,3,2021,4873,0,65,88,434,3,851070493
Butter,BTS,1,21,5,2021,4779,6,180,135,223,0,1143647827
Take My Breath,The Weeknd,1,6,8,2021,6392,0,174,73,344,0,432702334
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",3,3,9,2021,5481,0,144,30,86,0,489945871
abcdefu,Gayle,1,13,8,2021,7215,0,170,12,575,18,1007612429
RAPSTAR,Polo G,1,9,4,2021,4731,0,141,12,78,0,797402345
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,16,9,2021,3643,0,69,3,70,0,354065229
Permission to Dance,BTS,1,9,7,2021,1801,2,77,134,74,0,608334048
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2,28,4,2021,4893,4,143,24,110,0,651732901
Curame,Rauw Alejandro,1,25,6,2021,2636,3,36,82,39,0,465959382
When I am gone,"Katy Perry, Alesso",2,29,12,2021,3270,0,89,21,65,0,226897599
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",3,27,10,2021,824,0,8,8,8,2,1223481149
I Hate U,SZA,1,3,12,2021,4094,0,66,96,43,0,356709897
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",3,24,9,2021,4091,0,105,2,73,13,421040617
Nostalgico,"Chris Brown, Rvssian, Rauw Alejandro",3,8,9,2021,2780,2,86,76,59,0,436695353
family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",2,27,8,2021,6308,5,114,15,63,0,560222750
Bar,"Tini, L-Gante",2,11,11,2021,755,4,22,3,0,0,200972675
Fair Trade (with Travis Scott),"Drake, Travis Scott",2,3,9,2021,5403,6,118,116,96,0,593917618
Vai LÃ¡ Em Casa Hoje,George Henrique & Rodrigo y MarÃ­lia MendonÃ§a ,2,22,10,2021,772,0,7,3,89,0,263894529
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,29,12,2021,1678,12,20,4,15,1,374191487
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,5,11,2021,4963,0,63,40,76,0,383550148
Desesperados,"Chencho Corleone, Rauw Alejandro",2,25,6,2021,6821,34,83,58,128,7,809306935
Que mas pues?,"J Balvin, Maria Becerra",2,28,1,2021,8087,0,92,34,131,0,720825549
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",3,19,3,2021,14140,0,231,52,612,6,1445941661
The Feels,TWICE,1,1,10,2021,1150,0,20,99,44,0,345903614
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",3,24,6,2021,6556,0,93,5,67,1,528544703
Need To Know,Doja Cat,1,11,6,2021,6672,0,125,36,150,0,1042568408
deja vu,Olivia Rodrigo,1,1,4,2021,7545,4,117,39,141,0,1256880657
Do It To It,"Cherish, ACRAZE",2,20,8,2021,12403,0,183,63,465,0,674772936
I AM WOMAN,Emmy Meli,1,18,11,2021,2795,0,45,0,107,0,225259194
Kiss Me More (feat. SZA),"SZA, Doja Cat",2,9,4,2021,15867,0,382,65,497,0,1575467011
Happier Than Ever - Edit,Billie Eilish,1,28,7,2021,1959,0,19,0,38,0,412795151
Medallo,"Justin Quiles, Lenny TavÃ¯Â¿Â½Ã¯Â¿Â½rez, BL",3,27,10,2021,2780,2,54,21,57,1,393230256
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2,23,7,2021,13315,0,300,47,690,0,1814349763
good 4 u,Olivia Rodrigo,1,14,5,2021,15563,6,259,55,461,1,1887039593
Take My Breath,The Weeknd,1,6,8,2021,2597,0,17,80,38,0,130655803
It'll Be Okay,Shawn Mendes,1,1,12,2021,1950,0,56,8,104,0,287201015
Envolver,Anitta,1,11,11,2021,4673,2,123,113,180,1,546191065
Acapulco,Jason Derulo,1,1,9,2021,3098,0,111,5,182,1,363467642
Yonaguni,Bad Bunny,1,4,6,2021,9644,28,120,86,164,4,1260594497
Dos Oruguitas,Sebastian Yatra,1,19,11,2021,925,0,24,47,74,0,167076418
Where Are You Now,"Lost Frequencies, Calum Scott",2,30,7,2021,10565,44,238,122,557,17,972509632
TO THE MOON,Jnr Choi,1,5,11,2021,2979,0,44,0,159,0,245095641
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,19,11,2021,1150,0,20,38,12,0,184937148
Subelo,"Anuel Aa, Myke Towers, Jhay Cortez",3,18,11,2021,903,0,30,26,15,0,177129919
Mienteme,"Tini, Maria Becerra",2,29,4,2021,3406,16,61,23,70,1,596152090
EsqueÃ§a-me Se For Capaz,"MarÃ­lia MendonÃ§a, Maiara & Maraisa",2,14,10,2021,580,0,24,92,93,0,258316038
LA FAMA (with The Weeknd),"The Weeknd, ROSALÃ¯Â¿Â½",2,11,11,2021,4640,3,81,93,507,6,374706940
Every Summertime,NIKI,1,10,8,2021,1211,2,30,2,5,0,290228626
Don't Be Shy,"TiÃ¯Â¿Â½Ã¯Â¿Â½sto, Kar",2,1,8,2021,6026,0,171,51,187,1,566954746
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,3,9,2021,5199,0,45,43,45,0,594482982
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,5,3,2021,14417,0,237,123,569,0,1115880852
Volando - Remix,"Sech, Bad Bunny, Mora",3,8,7,2021,3272,19,101,34,70,1,610045621
Pepas,Farruko,1,24,6,2021,14114,17,252,109,965,20,1309887447
Salimo de Noche,"Trueno, Tiago pzk",2,21,10,2021,1057,0,17,5,21,0,261414174
We Don't Talk About Bruno,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",7,19,11,2021,2785,0,95,89,44,0,432719968
Super Gremlin,Kodak Black,1,30,10,2021,2551,0,52,15,35,0,342779426
Woman,Doja Cat,1,25,6,2021,9424,0,202,50,463,4,1329090101
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,15,1,2021,12043,0,209,54,710,0,863756573
favorite crime,Olivia Rodrigo,1,21,5,2021,3681,0,20,21,99,0,783706581
Por las Noches,Peso Pluma,1,11,6,2021,457,24,8,116,4,3,330346424
The Color Violet,Tory Lanez,1,10,12,2021,2585,32,3,79,21,1,415932686
Ghost,Justin Bieber,1,19,3,2021,5866,24,107,38,95,0,1167330737
Shivers,Ed Sheeran,1,9,9,2021,10147,30,234,71,543,18,1302184087
Bones,Imagine Dragons,1,11,3,2021,4198,44,98,108,327,17,838079900
Money so big,YEAT,1,10,9,2021,1473,0,2,0,12,0,263779030
"jealousy, jealousy",Olivia Rodrigo,1,21,5,2021,3257,0,10,0,70,0,665765558
this is what falling in love feels like,JVKE,1,3,9,2021,2005,0,16,5,43,0,346127840
Easy On Me,Adele,1,14,10,2021,10195,20,258,87,657,22,1406111294
METAMORPHOSIS,INTERWORLD,1,25,11,2021,1561,24,18,78,24,0,357580552
SloMo,Chanel,1,24,12,2021,1211,0,31,0,19,0,65719930
Ain't Shit,Doja Cat,1,25,6,2021,3436,0,32,6,46,0,499710590
Sunroof,"Nicky Youre, Dazy",2,3,12,2021,3741,17,156,35,110,19,652704649
Peru,"Ed Sheeran, Fireboy DML",2,23,12,2021,2999,0,60,17,154,0,261286503
Jordan,Ryan Castro,1,30,4,2021,2844,2,29,2,35,1,394030335
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,9,7,2021,17050,36,492,99,798,31,2665343922
La Bebe,Yng Lvcas,1,24,12,2021,489,17,4,11,5,1,191945597
Angel Baby,Troye Sivan,1,9,9,2021,1959,9,52,25,32,0,408843328
295,Sidhu Moose Wala,1,15,5,2021,246,4,4,106,0,0,183273246
Flowers,Lauren Spencer Smith,1,9,8,2021,801,0,42,9,24,1,184826429
Until I Found You,Stephen Sanchez,1,1,9,2021,4427,4,69,100,154,20,726434358
You Belong With Me (TaylorÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½s Ve,Taylor Swift,1,9,4,2021,2619,12,47,90,1,0,350381515
Massive,Drake,1,17,6,2022,5263,0,66,89,61,0,195628667
Betty (Get Money),Yung Gravy,1,10,6,2022,2402,0,45,2,26,0,221752937
Ojos Marrones,Lasso,1,6,2,2022,795,11,26,18,15,1,263280370
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,16,6,2022,2341,0,37,2,38,2,279717388
Starlight,Dave,1,3,3,2022,1856,3,29,40,31,1,229473310
Layla,"SchÃ¯Â¿Â½Ã¯Â¿Â½rze, DJ R",2,24,3,2022,832,3,18,124,24,1,130419412
BREAK MY SOUL,BeyoncÃ¯Â¿,1,21,6,2022,9724,0,222,61,259,14,354614964
Last Last,Burna Boy,1,12,5,2022,4526,12,156,275,150,3,293466523
SNAP,Rosa Linn,1,19,3,2022,1818,0,3,0,63,0,711366595
Sticky,Drake,1,17,6,2022,2814,0,38,105,25,0,191448892
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",3,1,7,2022,1601,0,11,0,2,0,85924992
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",3,3,6,2022,894,4,28,0,54,0,176103902
La Loto,"Anitta, Tini, Becky G",3,6,7,2022,945,0,49,3,57,0,121189256
die first,Nessa Barrett,1,24,6,2022,767,0,25,0,22,0,131746175
Afraid To Feel,LF System,1,2,5,2022,5898,5,129,55,128,0,244790012
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,10,6,2022,685,2,17,0,24,0,129314708
cÃ¯Â¿Â½Ã¯Â¿Â½mo dormi,Rels B,1,4,8,2022,1452,35,16,15,20,0,331511413
POP!,Nayeon,1,24,6,2022,571,0,19,21,14,0,213505179
MORE,j-hope,1,1,7,2022,565,0,6,52,11,0,155795783
Boyfriends,Harry Styles,1,20,5,2022,1517,0,26,2,30,0,137070925
Tak Ingin Usai,Keisya Levronka,1,13,5,2022,220,4,16,5,0,0,184807630
The Rumbling (TV Size),SiM,1,10,1,2022,254,0,0,4,23,0,71014967
For Youth,BTS,1,10,6,2022,327,0,5,40,12,0,114546317
Daylight,Harry Styles,1,20,5,2022,2775,0,21,11,40,0,290833204
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,1,6,5,2022,4576,0,79,13,93,0,448500832
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,10,6,2022,2313,0,34,0,29,0,136676504
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",3,27,5,2022,3983,0,73,45,119,0,190625045
Born Singer,BTS,1,10,6,2022,279,0,0,18,6,0,79095270
Little Freak,Harry Styles,1,20,5,2022,2302,0,20,3,39,0,273194684
La Llevo Al Cielo ,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",4,20,5,2022,3559,3,36,1,31,0,333146475
True Love,"Kanye West, XXXTENTACION",2,27,5,2022,2129,0,23,1,44,1,194902696
Satellite,Harry Styles,1,20,5,2022,3291,5,43,28,79,0,311482393
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2,8,6,2022,1401,0,26,16,17,0,248511839
Love Of My Life,Harry Styles,1,20,5,2022,1933,0,13,2,31,0,233671263
Grapejuice,Harry Styles,1,20,5,2022,1986,0,7,1,15,0,199587884
So Good,Halsey,1,9,6,2022,1057,0,51,14,19,0,91781263
Belly Dancer,"BYOR, Imanbek",2,18,2,2022,5115,13,109,38,301,1,383835984
Keep Driving,Harry Styles,1,20,5,2022,2094,1,8,1,18,0,236060709
Cinema,Harry Styles,1,20,5,2022,2171,0,18,1,28,0,189236868
Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",2,25,5,2022,896,0,19,0,15,0,160845341
Hold My Hand,Lady Gaga,1,3,5,2022,2528,0,63,8,270,2,238350348
Daydreaming,Harry Styles,1,20,5,2022,1900,1,15,1,23,0,187703102
Numb,"Marshmello, Khalid",2,10,6,2022,3879,2,107,76,86,1,295307001
Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",2,2,6,2022,896,0,0,0,2,0,138334433
Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",3,18,3,2022,5290,0,139,73,142,0,286739476
Antes de Perderte,Duki,1,2,6,2022,584,8,12,1,8,0,157136970
En El Radio Un Cochinero,Victor Cibrian,1,13,5,2022,514,0,5,36,1,0,164856284
Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",3,5,8,2022,1456,0,53,2,33,0,219196651
Attention,NewJeans,1,1,8,2022,799,12,14,141,9,0,264717480
Si Te La Encuentras Por AhÃ¯Â¿,Feid,1,5,8,2022,1379,4,23,10,18,0,179061440
Celestial,Ed Sheeran,1,29,9,2022,1639,0,86,14,80,0,176474912
Typa Girl,BLACKPINK,1,16,9,2022,452,10,2,129,13,0,235549288
California Breeze,Lil Baby,1,14,10,2022,991,0,36,38,13,0,85559365
Bamba (feat. Aitch & BIA),"Luciano, Aitch, BÃ¯Â¿Â½",3,22,9,2022,869,7,14,12,12,2,146223492
Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",3,1,7,2022,648,4,0,0,30,0,187701588
Major Distribution,"Drake, 21 Savage",2,4,11,2022,1545,0,22,7,15,0,154863153
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",3,4,11,2022,1930,0,24,8,17,0,191333656
Vigilante Shit,Taylor Swift,1,21,10,2022,1948,0,12,9,16,0,253650850
Question...?,Taylor Swift,1,21,10,2022,1608,0,10,3,12,0,223064273
On BS,"Drake, 21 Savage",2,4,11,2022,1338,0,9,20,7,0,170413877
Mastermind,Taylor Swift,1,21,10,2022,1936,0,7,5,13,0,218320587
Circo Loco,"Drake, 21 Savage",2,4,11,2022,1794,0,26,9,17,0,141720999
Labyrinth,Taylor Swift,1,21,10,2022,1597,0,6,3,15,0,187339835
Spin Bout U,"Drake, 21 Savage",2,4,11,2022,1652,2,26,52,10,0,198365537
Sweet Nothing,Taylor Swift,1,21,10,2022,1747,0,9,6,13,0,186104310
"Would've, Could've, Should've",Taylor Swift,1,21,10,2022,1715,0,4,5,8,0,177503916
Con La Brisa,"Ludwig Goransson, Foudeqush",2,4,11,2022,486,0,8,1,7,0,71095708
Privileged Rappers,"Drake, 21 Savage",2,4,11,2022,1007,0,6,5,3,0,112436403
The Astronaut,Jin,1,28,10,2022,481,9,10,100,15,1,203436468
BackOutsideBoyz,Drake,1,4,11,2022,1045,0,8,5,2,0,93367537
Broke Boys,"Drake, 21 Savage",2,4,11,2022,1060,0,3,8,5,0,106249219
The Great War,Taylor Swift,1,21,10,2022,1274,0,1,6,11,0,181382590
My Mind & Me,Selena Gomez,1,3,11,2022,953,0,61,13,37,1,91473363
Bigger Than The Whole Sky,Taylor Swift,1,21,10,2022,1180,0,4,0,8,0,121871870
A Veces (feat. Feid),"Feid, Paulo Londra",2,3,11,2022,573,0,2,0,7,0,73513683
2 Be Loved (Am I Ready),Lizzo,1,14,7,2022,3682,6,41,0,158,2,247689123
Nxde,(G)I-DLE,1,17,10,2022,430,6,14,116,9,0,170709584
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,18,8,2022,836,0,14,1,13,0,159240673
Bye Bye,"Marshmello, Juice WRLD",2,14,10,2022,766,0,16,0,9,0,84697729
GIVENCHY,Duki,1,20,7,2022,625,4,13,18,12,0,185236961
ALIEN SUPERSTAR,BeyoncÃ¯Â¿,1,29,7,2022,2688,0,39,47,36,0,171788484
Matilda,Harry Styles,1,20,5,2022,3218,3,29,10,79,0,366214458
THE SHADE,Rex Orange County,1,11,3,2022,1189,6,17,10,16,0,244928911
"Come Back Home - From ""Purple Hearts""",Sofia Carson,1,12,7,2022,367,0,28,67,195,0,97610446
El Rescate,"Grupo Marca Registrada, Junior H",2,22,7,2022,527,4,10,43,3,1,287278853
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,15,7,2022,3113,0,54,6,124,1,123473120
Siempre Pendientes,"Peso Pluma, Luis R Conriquez",2,15,8,2022,685,5,15,79,4,2,295152154
JGL,"Luis R Conriquez, La Adictiva",2,18,2,2022,782,9,15,33,6,1,323455692
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",3,16,6,2022,2442,0,81,4,248,1,240918092
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,20,5,2022,1112,4,22,2,65,1,191873381
Forget Me,Lewis Capaldi,1,9,9,2022,2520,4,93,95,84,9,239411309
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,5,8,2022,2107,0,51,1,50,0,170732845
After LIKE,IVE,1,22,8,2022,767,12,20,129,11,0,265548837
Talk that Talk,TWICE,1,26,8,2022,615,0,14,77,15,1,189476119
BILLIE EILISH.,Armani White,1,20,1,2022,2537,0,49,1,67,11,277132266
Ferxxo 100,Feid,1,3,6,2022,1647,30,20,49,23,2,278920007
KU LO SA - A COLORS SHOW,Oxlade,1,10,6,2022,2019,8,117,72,107,1,222410722
Prohibidox,Feid,1,13,9,2022,1473,12,25,36,25,1,185392587
Static,Steve Lacy,1,15,7,2022,1613,0,21,15,13,0,202452860
Talk,YEAT,1,2,9,2022,920,0,10,1,8,0,148461629
XQ Te Pones AsÃ¯Â¿,"Yandel, Feid",2,13,9,2022,308,0,6,1,6,0,47093942
Sin SeÃ±al,"Ovy On The Drums, Quevedo",2,22,7,2022,1097,2,18,10,13,1,209106362
Lady Mi Amor,Feid,1,13,9,2022,330,0,3,0,2,0,53987404
Poland,Lil Yachty,1,23,6,2022,1584,0,38,0,24,0,115331792
THE LONELIEST,MÃ¯Â¿Â½Ã¯Â¿Â½ne,1,7,10,2022,1585,5,78,65,328,1,225093344
B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",2,15,6,2022,5153,6,102,53,113,12,244585109
Music For a Sushi Restaurant,Harry Styles,1,20,5,2022,4449,1,80,11,66,0,334733572
SPACE MAN,Sam Ryder,1,22,2,2022,1329,0,42,51,32,0,54682594
Blessed-Cursed,ENHYPEN,1,10,1,2022,246,0,2,12,10,0,77337771
psychofreak (feat. WILLOW),"Camila Cabello, Willow",2,7,4,2022,918,0,24,0,52,0,75476209
Vampiro,"MatuÃ¯Â¿Â½Ã¯Â¿Â½, Wiu, ",3,30,1,2022,540,4,26,3,39,0,187772591
Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",3,31,3,2022,859,0,14,0,11,0,178512385
Right On,Lil Baby,1,8,4,2022,1116,0,31,9,15,0,101780047
Me Arrepenti,"Ak4:20, Cris Mj, Pailita",3,30,3,2022,273,2,12,2,4,0,118381354
That's Hilarious,Charlie Puth,1,8,4,2022,686,2,11,6,12,0,146363130
Soy El Unico,Yahritza Y Su Esencia,1,25,3,2022,226,0,5,0,4,0,126443991
sentaDONA (Remix) s2,"MC Frog, Dj Gabriel do Borel, Davi K",4,17,3,2022,870,0,32,0,49,0,176290831
Fim de Semana no Rio,teto,1,30,3,2022,315,2,27,2,31,0,139193812
MANIAC,Stray Kids,1,18,3,2022,651,0,6,188,20,0,212234990
CayÃ³ La Noche RemixÂ ,"Quevedo, La Pantera y Juseph",7,14,1,2022,1034,1,19,5,12,0,245400167
Chance,Paulo Londra,1,6,4,2022,225,0,11,0,7,0,89566512
IDGAF (with blackbear),"Blackbear, BoyWithUke",2,18,3,2022,625,0,10,2,13,0,197643795
Still Life,BIGBANG,1,5,4,2022,181,0,16,14,7,0,53909146
N95,Kendrick Lamar,1,13,5,2022,5542,0,52,16,65,0,301242089
About Damn Time,Lizzo,1,14,4,2022,9021,0,242,49,272,21,723894473
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",3,13,5,2022,4627,0,38,13,32,0,237351106
DespuÃ©s de la playa,Bad Bunny,1,6,5,2022,2229,0,27,44,24,0,461558540
Un Ratito,Bad Bunny,1,6,5,2022,1112,6,7,30,13,1,417230415
United In Grief,Kendrick Lamar,1,13,5,2022,2575,0,4,5,12,0,156898322
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2,13,5,2022,3107,0,4,0,22,0,127309180
she's all i wanna be,Tate McRae,1,4,2,2022,2711,0,105,12,51,0,343197054
Yo No Soy Celoso,Bad Bunny,1,6,5,2022,1179,0,7,21,11,0,313113297
Rich Spirit,Kendrick Lamar,1,13,5,2022,3486,0,20,10,33,0,173702135
"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and PixarÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½s Turning Red), Topher Ngo, Grayson Vill",6,25,2,2022,918,0,34,39,30,0,120847157
Numb Little Bug,Em Beihold,1,28,1,2022,2026,0,47,3,42,12,258714692
212,"Mainstreet, Chefin",2,15,1,2022,352,0,10,0,39,0,143139338
Pantysito,"Feid, Alejo, Robi",3,18,3,2022,2995,0,49,17,30,0,273005485
"I'm Tired - From ""Euphoria"" An Original HBO Series",Labrinth,1,4,2,2022,1888,0,26,1,58,0,121913181
Una Noche en Medellin,Cris Mj,1,21,1,2022,5415,32,46,16,53,1,682475162
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2,4,3,2022,6111,4,185,40,492,9,756907987
DANÃARINA,"Mc Pedrinho, Pedro Sampaio",2,1,2,2022,911,2,45,0,99,1,208166039
Sweetest Pie,"Dua Lipa, Megan Thee Stallion",2,11,3,2022,3501,0,69,2,51,11,299634472
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,3,3,2022,461,0,7,11,13,0,94616487
Nail Tech,Jack Harlow,1,18,2,2022,2939,0,42,0,24,0,193443895
Chale,Eden MuÃ¯Â¿Â½Ã¯,1,18,2,2022,695,11,16,41,13,1,299648208
DARARI,Treasure,1,15,2,2022,328,0,10,21,7,0,182978249
Ya No Somos Ni Seremos,Christian Nodal,1,18,2,2022,866,16,27,84,32,7,319757142
Freaky Deaky,"Tyga, Doja Cat",2,25,2,2022,1729,0,26,1,19,0,153240879
Gospel (with Eminem),"Eminem, Dr. Dre",2,4,2,2022,1040,0,8,0,29,0,64787943
Do We Have A Problem?,"Nicki Minaj, Lil Baby",2,4,2,2022,1064,0,42,1,26,0,81350745
O.O,NMIXX,1,22,2,2022,290,0,9,66,10,0,135444283
Mal Feito - Ao Vivo,"MarÃ¯Â¿Â½Ã¯Â¿Â½lia MendonÃ¯Â¿Â½Ã¯Â¿Â½a, Hugo & G",2,14,1,2022,971,2,35,104,93,1,291709698
First Class,Jack Harlow,1,8,4,2022,8737,0,163,32,137,15,694525298
Plan A,Paulo Londra,1,23,3,2022,1105,0,32,0,19,0,240661097
Fuera del mercado,Danny Ocean,1,17,2,2022,2499,21,68,24,43,1,421365166
X ultima vez,"Daddy Yankee, Bad Bunny",2,25,3,2022,2697,1,55,3,32,0,349746291
When You're Gone,Shawn Mendes,1,31,3,2022,2092,0,75,11,44,0,255120451
In My Head,Lil Tjay,1,1,4,2022,1185,0,21,0,31,0,190981339
LOVE DIVE,IVE,1,5,4,2022,753,8,28,124,13,0,305771063
Malvada,ZÃ¯Â¿Â½Ã¯Â¿Â½ Fe,1,28,1,2022,601,0,28,73,64,0,154119539
Worst Day,Future,1,11,2,2022,910,0,20,3,24,0,50746620
Bussin,"Nicki Minaj, Lil Baby",2,11,2,2022,847,0,25,0,14,0,64714573
Brividi,"Mahmood, Blanco",2,2,2,2022,1175,0,34,1,31,0,135079152
Run BTS,BTS,1,10,6,2022,736,0,5,132,17,0,330881149
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",3,11,2,2022,2096,0,34,3,30,0,107255472
Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",2,12,5,2022,2942,0,42,28,43,0,271666301
Thousand Miles,The Kid Laroi,1,22,4,2022,2050,0,52,9,46,0,244741137
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,7,1,2022,620,0,17,3,3,0,54937991
Crown,Kendrick Lamar,1,13,5,2022,1493,0,2,0,10,0,42485571
Auntie Diaries,Kendrick Lamar,1,13,5,2022,1545,0,1,0,4,0,37778188
PUFFIN ON ZOOTIEZ,Future,1,29,4,2022,2350,0,28,42,23,0,254218729
Mirror,Kendrick Lamar,1,13,5,2022,1929,0,2,0,4,0,53603447
Beautiful Girl,Luciano,1,22,4,2022,710,4,16,11,18,0,160035717
"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",2,25,4,2022,928,0,19,0,7,0,164163229
Savior - Interlude,Kendrick Lamar,1,13,5,2022,1194,0,0,0,3,0,37091576
Pasoori,"Shae Gill, Ali Sethi",2,6,2,2022,349,6,10,22,3,0,284249832
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2,13,5,2022,1890,0,3,0,2,0,33381454
Stefania (Kalush Orchestra),KALUSH,1,10,3,2022,555,0,10,4,4,0,53729194
Tus Lagrimas,"Sech, Mora",2,1,4,2022,1308,2,23,16,9,0,184622518
I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",2,6,5,2022,1657,0,15,3,3,0,121077868
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2,29,4,2022,1351,0,26,1,17,0,106919680
ZOOM,Jessi,1,13,4,2022,608,0,5,29,14,0,136996305
FEARLESS,LE SSERAFIM,1,2,5,2022,629,0,18,75,9,0,229497852
10 Things I Hate About You,Leah Kate,1,23,3,2022,1301,0,23,1,15,0,185550869
Polaroid Love,ENHYPEN,1,10,1,2022,461,0,10,56,17,0,211372494
Hati-Hati di Jalan,Tulus,1,3,3,2022,200,2,12,4,0,0,202677468
With you,"HA SUNG WOON, Jimin",2,24,4,2022,343,2,4,35,11,1,240580042
The Heart Part 5,Kendrick Lamar,1,8,5,2022,2939,0,29,0,30,0,71423324
This Love (TaylorÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½s Ve,Taylor Swift,1,6,5,2022,1492,0,26,2,15,0,132171975
Yet To Come,BTS,1,10,6,2022,829,0,32,110,26,0,302006641
Where Did You Go?,"MNEK, Jax Jones",2,26,1,2022,4531,0,135,74,119,1,300983101
SUPERMODEL,MÃ¯Â¿Â½Ã¯Â¿Â½ne,1,13,5,2022,2265,0,93,12,173,11,231657891
Rich - Interlude,Kendrick Lamar,1,13,5,2022,1103,0,0,0,0,0,41210087
In The Stars,Benson Boone,1,29,4,2022,2224,8,48,40,87,1,382199619
Me Fui de Vacaciones,Bad Bunny,1,6,5,2022,1443,0,9,11,22,1,305650299
Silent Hill,"Kendrick Lamar, Kodak Black",2,13,5,2022,3028,0,22,0,23,0,123216717
La Corriente,"Tony Dize, Bad Bunny",2,6,5,2022,1796,8,8,25,18,1,479655659
The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",2,11,2,2022,1430,0,46,1,34,0,146789379
Count Me Out,Kendrick Lamar,1,13,5,2022,2729,0,3,7,13,0,126191104
